# Phonetic series according to 上古音系 (Old Chinese Phonology), by 鄭張尚芳 (Shangfang Zhengzhang), 2003.
# Downloaded from https://en.wiktionary.org/wiki/Wiktionary:About_Chinese/phonetic_series and /phonetic_series_2
component,IPA,members
各,(*klaːɡ),髂路輅賂虂露潞鷺璐簬簵洛駱絡酪烙雒珞硌袼笿鉻鮥鵅挌落各胳閣格擱恪愙貉狢佫略茖骼觡蛒敋客喀揢額峉頟詻垎楁
合,(*kuːb),龕媕頜答畣荅嗒褡撘搭榙佮蛤鴿合郃匌鉿閤鞈韐鮯哈姶欱盒耠詥塔鞳劄跲袷餄恰帢洽祫珨烚歙湁拾給翕噏潝熻嬆翖闟
吉,(*klid),秸髻夡鴶袺頡劼硈咭黠聐趌結拮桔狤擷襭翓纈吉郆詰蛣佶鮚姞欯恄
同,(*doːŋ),鮦侗恫痌同仝銅桐峒硐筒洞烔挏酮鲖眮衕哃絧姛詷胴駧迵戙
名,(*meŋ),名洺眳詺銘茗酩姳
后,(*ɡoːʔ),垢詬茩姤銗骺后垕郈逅鲘缿
向,(*hljaŋs),晌餉向珦
君,(*klun),涒麏莙輑蜠峮窘僒君桾宭鮶捃群羣裙裠帬焄郡
吝,(*m·rins),麐吝悋
吳,(*ŋʷaː),吳蜈
吴,,鋘麌祦誤悞娛虞澞鸆俣噳
吹,(*kʰjol),吹炊焁
呂,(*ɡ·raʔ),櫚閭吕侣梠郘絽莒筥
呈,(*rleŋ),挰鋥逞裎悜睈呈程酲珵徎郢浧桯鞓壬鐵驖戜
告,(*kuːɡs),造慥艁糙告誥郜祰靠浩晧皓窖簉梏硞牿鵠酷焅嚳頶
周,(*tjɯw),裯啁禂綢翢錭雕凋琱鯛鵰彫奝調蜩惆婤稠椆周輖賙郮晭倜
咅,(*pʰɯʔ),蓓倍菩掊剖婄踣箁咅部培犃瓿殕醅棓涪賠陪毰焙
咎,(*kɯːw),咎鼛櫜倃綹麔晷厬
咠,(*ʔsib),楫檝湒咠葺緝諿輯箿蕺戢濈霵揖
咸,(*ɡrɯːm),感鱤顑轗撼憾喊緘瑊黬減羬麙咸鹹醎諴椷輱鍼箴葴鱵
