# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M	﻿# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M
# Readings (second column) were added using pykakasi
の	ノ
のせる	ノセル
一般的	イッパンテキ
上達	ジョウタツ
侵略	シンリャク
大型	オオガタ
火災	カサイ
オーラ	オーラ
かぜ	カゼ
回答	カイトウ
発売	ハツバイ
シル	シル
ハゲ	ハゲ
やしない	ヤシナイ
いっつも	イッツモ
バレー	バレー
久	キュウ
副作用	フクサヨウ
反則	ハンソク
安らか	ヤスラカ
成し遂げる	ナシトゲル
残業	ザンギョウ
親衛隊	シンエイタイ
キーン	キーン
だいたい	ダイタイ
フィルム	フィルム
立ち直る	タチナオル
おふくろ	オフクロ
サーフィン	サーフィン
ハンドル	ハンドル
リハビリ	リハビリ
奈緒美	ナオミ
妥協	ダキョウ
指名手配	シメイテハイ
松村	マツムラ
満点	マンテン
カクテル	カクテル
カッ	カッ
シャンプー	シャンプー
丁	チョウ
乗り	ノリ
承諾	ショウダク
案外	アンガイ
管理人	カンリニン
あるじ	アルジ
とれる	トレル
手前	テマエ
涼子	リョウコ
フレッド	フレッド
回せる	マワセル
女装	ジョソウ
輸送	ユソウ
そく	ソク
夢みる	ユメミル
攻略	コウリャク
数年前	スウネンマエ
気のせい	キノセイ
牛肉	ギュウニク
自立	ジリツ
首都	シュト
いじめ	イジメ
および	オヨビ
ぶち	ブチ
元カレ	モトカレ
大いに	オオイニ
引き上げる	ヒキアゲル
災難	サイナン
苦戦	クセン
螢	ホタル
麻酔	マスイ
やかましい	ヤカマシイ
狙撃	ソゲキ
風景	フウケイ
ひな	ヒナ
洋服	ヨウフク
真っ暗	マックラ
美術館	ビジュツカン
パンケーキ	パンケーキ
半田	ハンダ
密輸	ミツユ
美波	ミナミ
隆	タカシ
頭脳	ズノウ
アシスタント	アシスタント
エジプト	エジプト
ギャンブル	ギャンブル
セス	セス
先月	センゲツ
海崎	ウミサキ
皇子	オウジ
祐	スケ
臆病	オクビョウ
ボディ	ボディ
着地	チャクチ
バーバラ	バーバラ
匿名	トクメイ
路	ミチ
鷲巣	ワシス
いい加減	イイカゲン
フランス人	フランスニン
側近	ソッキン
後継者	コウケイシャ
施す	ホドコス
芽衣	メコロモ
おこ	オコ
とぶ	トブ
ユーモア	ユーモア
操	ミサオ
攻撃的	コウゲキテキ
泰山	タイザン
米田	ヨネダ
自動車	ジドウシャ
遊馬	ユウマ
ハード	ハード
入れ	イレ
取り消す	トリケス
結婚生活	ケッコンセイカツ
視点	シテン
単独	タンドク
合わせ	アワセ
忍び込む	シノビコム
疑惑	ギワク
コウモリ	コウモリ
令	レイ
前線	ゼンセン
武士	ブシ
法案	ホウアン
航空	コウクウ
あたる	アタル
何という	ナントイウ
期	キ
話し方	ハナシカタ
アイスクリーム	アイスクリーム
すず	スズ
大泉	オオイズミ
失	シツ
採る	トル
消防士	ショウボウシ
落とせる	オトセル
しのぶ	シノブ
ダダ	ダダ
ビート	ビート
合法	ゴウホウ
校長先生	コウチョウセンセイ
湯	ユ
獅子	シシ
チャラ	チャラ
よほど	ヨホド
作り方	ツクリカタ
杉	スギ
肝	キモ
裁判官	サイバンカン
なでる	ナデル
ローレライ	ローレライ
勝ち取る	カチトル
断れる	コトワレル
罰金	バッキン
集	シュウ
響き	ヒビキ
しき	シキ
ペガサス	ペガサス
木下	キノシタ
民衆	ミンシュウ
見上げる	ミアゲル
かね	カネ
モモ	モモ
危害	キガイ
厨房	チュウボウ
右腕	ミギウデ
慰め	ナグサメ
矛盾	ムジュン
解析	カイセキ
お手伝い	オテツダイ
人目	ヒトメ
早まる	ハヤマル
木場	キバ
気取る	キドル
頭部	トウブ
さらば	サラバ
捜し出す	サガシダス
横山	ヨコヤマ
管	カン
見方	ミカタ
記者会見	キシャカイケン
エスコバル	エスコバル
子孫	シソン
手上げ	テアゲ
春香	ハルカオリ
沈める	シズメル
立候補	リッコウホ
カウボーイ	カウボーイ
タナベ	タナベ
ミッチ	ミッチ
今日中に	キョウジュウニ
伊月	イガツ
体制	タイセイ
就任	シュウニン
クーパー	クーパー
スパイス	スパイス
つめ	ツメ
バーク	バーク
小森	コモリ
府	フ
見解	ケンカイ
ジャケット	ジャケット
トラウマ	トラウマ
もろい	モロイ
修	オサム
委ねる	ユダネル
漁師	リョウシ
ご苦労さん	ゴクロウサン
一杯	イッパイ
教官	キョウカン
総長	ソウチョウ
クラッカー	クラッカー
しかる	シカル
わする	ワスル
咆哮	ホウコウ
思いどおり	オモイドオリ
見抜く	ミヌク
７つ	７ツ
声援	セイエン
成分	セイブン
相	ソウ
荒らす	アラス
騒がしい	サワガシイ
にぎやか	ニギヤカ
よそ者	ヨソモノ
両者	リョウシャ
仕組む	シクム
反抗	ハンコウ
司祭	シサイ
引っ込む	ヒッコム
液体	エキタイ
火曜	カヨウ
縫合	ホウゴウ
警告音	ケイコクオン
いかなる	イカナル
エア	エア
乾燥	カンソウ
副社長	フクシャチョウ
劣る	オトル
生死	セイシ
すっきり	スッキリ
すんません	スンマセン
仕方なく	シカタナク
何しろ	ナニシロ
単語	タンゴ
学習	ガクシュウ
無責任	ムセキニン
雄たけび	オスタケビ
先ほど	サキホド
制度	セイド
厳重	ゲンジュウ
落書き	ラクガキ
間近	マジカ
アルゼンチン	アルゼンチン
カツオ	カツオ
テディ	テディ
とらわれる	トラワレル
マイル	マイル
刹那	セツナ
当選	トウセン
聞き出す	キキダス
いやがる	イヤガル
好意	コウイ
庭園	テイエン
政策	セイサク
新年	シンネン
知性	チセイ
お子さん	オコサン
警報音	ケイホウオン
頼もしい	タノモシイ
分かち	ワカチ
脳みそ	ノウミソ
離脱	リダツ
スクリーン	スクリーン
ソロ	ソロ
にらむ	ニラム
向	コウ
教科書	キョウカショ
聖域	セイイキ
費やす	ツイヤス
進路	シンロ
おなら	オナラ
ゆめ	ユメ
ワ	ワ
上海	シャンハイ
婆	バア
フットボール	フットボール
充電	ジュウデン
惑わす	マドワス
拘置所	コウチショ
歴史的	レキシテキ
美味しい	オイシイ
蚊	カ
ベンチ	ベンチ
リポーター	リポーター
体育	タイイク
無傷	ムキズ
防犯カメラ	ボウハンカメラ
ウォーター	ウォーター
スタンド	スタンド
スティーヴ	スティーヴ
やり直せる	ヤリナオセル
世界的	セカイテキ
受信	ジュシン
自動	ジドウ
鉄道	テツドウ
うし	ウシ
ゴッド	ゴッド
ラスベガス	ラスベガス
早	ソウ
精いっぱい	セイイッパイ
騎士団	キシダン
セン	セン
妹さん	イモウトサン
引き返す	ヒキカエス
新品	シンピン
航	コウ
シーザー	シーザー
ぶち壊す	ブチコワス
供給	キョウキュウ
始	シ
魚雷	ギョライ
ジャーン	ジャーン
バレンタイン	バレンタイン
仲良い	ナカヨイ
家事	カジ
泊まり	トマリ
線路	センロ
アカデミー	アカデミー
ケア	ケア
ノド	ノド
上官	ジョウカン
感染症	カンセンショウ
映画館	エイガカン
粒	ツブ
髪型	カミガタ
グリッド	グリッド
すする	ススル
ひきょう	ヒキョウ
ボックス	ボックス
ロデオ	ロデオ
何事も	ナニゴトモ
整形	セイケイ
昨晩	サクバン
特殊部隊	トクシュブタイ
血痕	ケッコン
豚肉	ブタニク
カップケーキ	カップケーキ
ジャズ	ジャズ
ソーダ	ソーダ
パンティ	パンティ
まとまる	マトマル
早朝	ソウチョウ
自己	ジコ
カラー	カラー
たった今	タッタイマ
ファック	ファック
ベビー	ベビー
まぶしい	マブシイ
ヤリ	ヤリ
家畜	カチク
毎月	マイツキ
秀吉	ヒデキチ
魅了	ミリョウ
カサ	カサ
キック	キック
ゴマ	ゴマ
トロール	トロール
檻	ラン
溶かす	トカス
あか	アカ
おの	オノ
判定	ハンテイ
本社	ホンシャ
決定的	ケッテイテキ
綾乃	アヤノ
うてる	ウテル
タツミ	タツミ
ハリス	ハリス
めまい	メマイ
反乱軍	ハンラングン
柴田	シバタ
生産	セイサン
羽川	ハガワ
アメフト	アメフト
いそ	イソ
しょうゆ	ショウユ
取り込む	トリコム
声明	セイメイ
縄張り	ナワバリ
守護	シュゴ
専念	センネン
弾丸	ダンガン
投入	トウニュウ
退場	タイジョウ
しっこ	シッコ
分子	ブンシ
大好物	ダイコウブツ
絶好	ゼッコウ
イースト	イースト
強要	キョウヨウ
アップル	アップル
くだす	クダス
つむぐ	ツムグ
ヒマ	ヒマ
フロア	フロア
リュック	リュック
埋まる	ウマル
天道	テンドウ
失恋	シツレン
性別	セイベツ
良好	リョウコウ
オッパイ	オッパイ
キャンディ	キャンディ
フランシス	フランシス
ホッケー	ホッケー
上手く	ウマク
容器	ヨウキ
想い	オモイ
汚れ	ヨゴレ
視界	シカイ
きゃあ	キャア
スキャンダル	スキャンダル
唯	タダ
照れる	テレル
罰する	バツスル
順	ジュン
トーク	トーク
ブース	ブース
プラズマ	プラズマ
不審	フシン
吾	ワレ
害	ガイ
脱げる	ヌゲル
長男	チョウナン
キーボード	キーボード
コレクション	コレクション
フェラ	フェラ
大杉	オオスギ
構成	コウセイ
焦げる	コゲル
狩る	カル
相撲	スモウ
細工	サイク
見送る	ミオクル
身近	ミジカ
ハサミ	ハサミ
少	ショウ
武田	タケダ
留める	トドメル
竜崎	リュウガサキ
観光客	カンコウキャク
スパルタ	スパルタ
バロン	バロン
何人も	ナンニンモ
出し	ダシ
可哀想	カワイソウ
感知	カンチ
クローゼット	クローゼット
我が子	ワガコ
敷地	シキチ
時間のムダ	ジカンノムダ
時間の問題	ジカンノモンダイ
スプレー	スプレー
タイムマシン	タイムマシン
に従い	ニシタガイ
後方	コウホウ
統一	トウイツ
オーダー	オーダー
オランダ	オランダ
キャラクター	キャラクター
封筒	フウトウ
敗退	ハイタイ
正しく	タダシク
通せる	トウセル
イラク	イラク
はやい	ハヤイ
区別	クベツ
回数	カイスウ
大使館	タイシカン
斉藤	サイトウ
真夜中	マヨナカ
モスクワ	モスクワ
ラウンジ	ラウンジ
人間界	ニンゲンカイ
吸い込む	スイコム
年下	トシシタ
起	キ
防げる	フセゲル
ジョーダン	ジョーダン
ミッキー	ミッキー
もどる	モドル
レナード	レナード
旧	キュウ
痛めつける	イタメツケル
頻繁	ヒンパン
イサミ	イサミ
サソリ	サソリ
人達	ヒトタチ
改める	アラタメル
永久	エイキュウ
海底	カイテイ
白石	シロイシ
表紙	ヒョウシ
遂げる	トゲル
フォロー	フォロー
切符	キップ
剃る	ソル
怪しむ	アヤシム
懲役	チョウエキ
斬新	ザンシン
無意識	ムイシキ
粒子	リュウシ
通訳	ツウヤク
遠慮なく	エンリョナク
ウェルズ	ウェルズ
将校	ショウコウ
平穏	ヘイオン
思い知る	オモイシル
水分	スイブン
見極める	ミキワメル
おやっ	オヤッ
お金持ち	オカネモチ
バグ	バグ
バケツ	バケツ
壊滅	カイメツ
数値	スウチ
生理	セイリ
遺族	イゾク
頂上	チョウジョウ
セーター	セーター
ひむ	ヒム
浄化	ジョウカ
海賊王	カイゾクオウ
真似	マネ
アジト	アジト
こす	コス
保釈	ホシャク
勇	イサミ
懸念	ケネン
逃げ	ニゲ
おわる	オワル
お送り	オオクリ
不自然	フシゼン
洗脳	センノウ
立花	タチバナ
きける	キケル
ギャラ	ギャラ
コロニー	コロニー
つきあい	ツキアイ
基礎	キソ
奨学金	ショウガクキン
断つ	タツ
私自身	ワタシジシン
クラン	クラン
シリア	シリア
セクハラ	セクハラ
プライバシー	プライバシー
リ	リ
入力	ニュウリョク
北村	キタムラ
取り調べ	トリシラベ
口笛	クチブエ
手出し	テダシ
舞う	マウ
パズル	パズル
リットル	リットル
出直す	デナオス
呼び出し	ヨビダシ
真っ白	マッシロ
竹	タケ
経験者	ケイケンシャ
電力	デンリョク
アザ	アザ
ウォール	ウォール
ティア	ティア
らく	ラク
冴子	サエコ
取り付ける	トリツケル
各自	カクジ
断言	ダンゲン
親方	オヤカタ
調和	チョウワ
アイテム	アイテム
アキ	アキ
ウィリアムズ	ウィリアムズ
キメる	キメル
ゴリ	ゴリ
デルタ	デルタ
ひま	ヒマ
ヘリコプター	ヘリコプター
恩返し	オンガエシ
授ける	サズケル
活動家	カツドウカ
航海	コウカイ
しく	シク
なぐ	ナグ
バッテリー	バッテリー
ばら	バラ
ピラフ	ピラフ
出撃	シュツゲキ
引き続き	ヒキツヅキ
色んな	イロンナ
鈍い	ニブイ
カルメン	カルメン
ケーブル	ケーブル
ジャネット	ジャネット
ドナルド	ドナルド
ヒザ	ヒザ
出力	シュツリョク
勤める	ツトメル
吹き飛ばす	フキトバス
帯	オビ
祐子	ユウコ
遊べる	アソベル
酒場	サカバ
鏑木	カブラキ
全開	ゼンカイ
助け合う	タスケアウ
瀬	セ
解説	カイセツ
鞠	マリ
いつく	イツク
サングラス	サングラス
果てる	ハテル
楽屋	ガクヤ
裁き	サバキ
ダイヤモンド	ダイヤモンド
パネル	パネル
ほっと	ホット
大介	ダイスケ
工夫	クフウ
広報	コウホウ
手元	テモト
粉々	コナゴナ
細菌	サイキン
薬局	ヤッキョク
講師	コウシ
ムラサキ	ムラサキ
代理人	ダイリニン
動き出す	ウゴキダス
名付ける	ナヅケル
大和	ヤマト
岡	オカ
昇る	ノボル
トロイ	トロイ
呪	ジュ
宮城	ミヤギ
未熟	ミジュク
水晶	スイショウ
理絵	リエ
いわく	イワク
引き取り	ヒキトリ
探索	タンサク
教皇	キョウコウ
キラー	キラー
学費	ガクヒ
心強い	ココロヅヨイ
汝	ナンジ
金曜日	キンヨウビ
カルテ	カルテ
まとう	マトウ
帳簿	チョウボ
懲りる	コリル
現実的	ゲンジツテキ
鉱山	コウザン
駐車	チュウシャ
騒動	ソウドウ
カウンセラー	カウンセラー
キャン	キャン
パンダ	パンダ
傷口	キズグチ
別名	ベツメイ
卒	ソツ
推理	スイリ
異星人	イセイジン
融資	ユウシ
裏口	ウラグチ
タウン	タウン
チェンジ	チェンジ
ポスト	ポスト
丑	ウシ
増加	ゾウカ
小枝	ショウエダ
竜一	リュウイチ
あま	アマ
オーク	オーク
ション	ション
ブリタニア	ブリタニア
丞相	ジョウショウ
同類	ドウルイ
弱虫	ヨワムシ
格闘	カクトウ
気遣い	キヅカイ
監獄	カンゴク
翌朝	ヨクチョウ
記す	シルス
オーライ	オーライ
キューバ	キューバ
グローブ	グローブ
コルト	コルト
チェス	チェス
介入	カイニュウ
以前に	イゼンニ
吉岡	ヨシオカ
和之	カズユキ
枯れる	カレル
発掘	ハックツ
隙間	スキマ
プレイヤー	プレイヤー
マーガレット	マーガレット
幹	カン
無縁	ムエン
王冠	オウカン
編	ヘン
逝く	イク
阿部	アベ
づける	ヅケル
といった	トイッタ
フォーク	フォーク
執筆	シッピツ
担任	タンニン
探検	タンケン
損ねる	ソコネル
数カ月	カズカガツ
棺	ヒツギ
漫才	マンザイ
ホリー	ホリー
不死身	フジミ
刺激的	シゲキテキ
思い知らせる	オモイシラセル
旅立つ	タビダツ
超能力	チョウノウリョク
重荷	オモニ
グズグズ	グズグズ
ハーブ	ハーブ
岸	キシ
日付	ヒヅケ
何回も	ナンカイモ
塚	ツカ
安斎	アンザイ
木材	モクザイ
生存	セイゾン
経る	ヘル
菓子	カシ
リース	リース
兄妹	キョウダイ
各地	カクチ
授かる	サズカル
片づく	カタヅク
金魚	キンギョ
すぐそこ	スグソコ
ネオ	ネオ
みちる	ミチル
やらかす	ヤラカス
ロシア人	ロシアニン
何度でも	ナンドデモ
共演	キョウエン
吐き出す	ハキダス
札	サツ
こんど	コンド
フルーツ	フルーツ
ライラ	ライラ
化する	カスル
叶	カノウ
扇	オウギ
概念	ガイネン
毎度	マイド
江戸	エド
注入	チュウニュウ
阿る	アル
鶏肉	トリニク
あがる	アガル
オリンピック	オリンピック
かわいがる	カワイガル
不適切	フテキセツ
印刷	インサツ
愚	グ
綺	キ
要は	ヨウハ
鷹	タカ
ケル	ケル
ごきげんよう	ゴキゲンヨウ
トレイシー	トレイシー
叶う	カナウ
支え	ササエ
横取り	ヨコドリ
泣ける	ナケル
生息	セイソク
言い分	イイブン
シャノン	シャノン
しろい	シロイ
みほ	ミホ
周波数	シュウハスウ
植樹	ショクジュ
機密	キミツ
武術	タケシジュツ
独房	ドクボウ
班長	ハンチョウ
軍事	グンジ
通れる	トウレル
お水	オミズ
スクープ	スクープ
デー	デー
全額	ゼンガク
編集者	ヘンシュウシャ
透明	トウメイ
万一	マンイチ
善良	ゼンリョウ
坊ちゃん	ボウチャン
堀	ホリ
空中	クウチュウ
蒙る	コウムル
あーん	アーン
ねえさん	ネエサン
不運	フウン
中川	ナカガワ
人手	ヒトデ
点検	テンケン
義姉	ギシ
農業	ノウギョウ
追求	ツイキュウ
かげ	カゲ
スリ	スリ
ちょいと	チョイト
っ子	ッコ
パレード	パレード
ベテラン	ベテラン
兆候	チョウコウ
哉	ヤ
広島	コウシマ
無数	ムスウ
香織	カオリ
としたら	トシタラ
好奇心	コウキシン
穴見	アナケン
精神科医	セイシンカイ
苺	イチゴ
解剖	カイボウ
詩人	シジン
たれる	タレル
ファミリー	ファミリー
予定どおり	ヨテイドオリ
果たせる	ハタセル
私生活	シセイカツ
腐敗	フハイ
覆面	フクメン
釣れる	ツレル
障る	サワル
カトリック	カトリック
忠誠心	チュウセイシン
海原	ウナバラ
禁物	キンモツ
重なる	オモナル
アンドレ	アンドレ
シーツ	シーツ
なおさら	ナオサラ
プロム	プロム
ムーン	ムーン
五十嵐	イガラシ
坂本	サカモト
援軍	エングン
物体	ブッタイ
空想	クウソウ
自分の力	ジブンノチカラ
道場	ドウジョウ
閉ざす	トザス
じゅん	ジュン
向上	コウジョウ
地響き	ジヒビキ
時間切れ	ジカンギレ
本質	ホンシツ
毬	マリ
活用	カツヨウ
男前	オトコマエ
病む	ヤム
連載	レンサイ
遺言	ユイゴン
鎮痛剤	チンツウザイ
あし	アシ
サークル	サークル
平均	ヘイキン
食らえる	クラエル
三浦	ミウラ
代役	ダイヤク
作成	サクセイ
宴	ウタゲ
継	ケイ
転落	テンラク
錬金術師	レンキンジュツシ
トルコ	トルコ
宿る	ヤドル
集中力	シュウチュウリョク
おかみ	オカミ
カツラ	カツラ
ぐち	グチ
げっ	ゲッ
住まい	スマイ
岡田	オカダ
延長	エンチョウ
技術者	ギジュツシャ
改良	カイリョウ
武道	ブドウ
称賛	ショウサン
管轄	カンカツ
エコー	エコー
どうにも	ドウニモ
パンパン	パンパン
会談	カイダン
侵攻	シンコウ
っちょ	ッチョ
ヨリ	ヨリ
レギュラー	レギュラー
収容所	シュウヨウジョ
盗る	トル
考	コウ
配慮	ハイリョ
イタズラ	イタズラ
お悔やみ	オクヤミ
シリアル	シリアル
シンデレラ	シンデレラ
フレア	フレア
ムラ	ムラ
後退	コウタイ
星奈	ホシナ
破産	ハサン
頑丈	ガンジョウ
シングル	シングル
みっともない	ミットモナイ
会見	カイケン
昇	ノボル
適任	テキニン
くれぐれも	クレグレモ
スコットランド	スコットランド
ピクニック	ピクニック
ムード	ムード
何かと	ナニカト
北海道	ホッカイドウ
抗争	コウソウ
神原	カミハラ
箸	ハシ
重視	ジュウシ
あご	アゴ
エンジニア	エンジニア
コップ	コップ
マザー	マザー
付け	ツケ
密売	ミツバイ
影響力	エイキョウリョク
節	フシ
見なす	ミナス
遮断	シャダン
いす	イス
偽者	ニセモノ
処方	ショホウ
告訴	コクソ
悪意	アクイ
東堂	ヒガシドウ
近	キン
かぐ	カグ
ミナ	ミナ
包帯	ホウタイ
団員	ダンイン
展示	テンジ
留守番	ルスバン
真理亜	シンリア
輸血	ユケツ
鬼塚	オニヅカ
アイツ	アイツ
ジョージア	ジョージア
ラマ	ラマ
主治医	シュジイ
偽る	イツワル
創る	ツクル
原作	ゲンサク
大王	ダイオウ
幅	ハバ
彩	サイ
恵美	エミ
打撃	ダゲキ
暖炉	ダンロ
欺く	アザムク
清潔	セイケツ
臓器	ゾウキ
賞品	ショウヒン
邪見	ジャケン
鳴く	ナク
お笑い	オワライ
ジェフリー	ジェフリー
ちい	チイ
ややこしい	ヤヤコシイ
ロッキー	ロッキー
一馬	イチバ
久保	クボ
占領	センリョウ
掲げる	カカゲル
農民	ノウミン
エリ	エリ
ビートルズ	ビートルズ
任命	ニンメイ
労働	ロウドウ
小型	コガタ
常連	ジョウレン
恩人	オンジン
科学的	カガクテキ
キュート	キュート
クララ	クララ
ティッシュ	ティッシュ
ビジョン	ビジョン
ブドウ	ブドウ
ホープ	ホープ
ライフル	ライフル
リモコン	リモコン
伯父さん	オジサン
小泉	コイズミ
強敵	キョウテキ
放出	ホウシュツ
討論	トウロン
お化け	オバケ
ジャガイモ	ジャガイモ
傲慢	ゴウマン
入場	ニュウジョウ
前半	ゼンハン
差し入れ	サシイレ
旅館	リョカン
窪	クボ
アイリス	アイリス
ウェスト	ウェスト
ささい	ササイ
シェア	シェア
しな	シナ
ノース	ノース
大砲	タイホウ
明ける	アケル
王族	オウゾク
食い止める	クイヤメル
ふと	フト
中東	チュウトウ
喧嘩	ケンカ
徳	トク
慕う	シタウ
柊	ヒイラギ
オードリー	オードリー
キリル	キリル
一見	イッケン
完	カン
是非	ゼヒ
解き放つ	トキホウッツ
連	レン
かっこ	カッコ
バディ	バディ
不自由	フジユウ
共和党	キョウワトウ
典型的	テンケイテキ
担う	ニナウ
聖人	セイジン
くるみ	クルミ
ばく	バク
仙道	センドウ
動脈	ドウミャク
孤児	コジ
かせる	カセル
きた	キタ
クリニック	クリニック
サウス	サウス
しいる	シイル
ぜんぶ	ゼンブ
そういうもの	ソウイウモノ
仮説	カセツ
凄い	スゴイ
抑制	ヨクセイ
法則	ホウソク
面倒くさい	メンドウクサイ
あける	アケル
イモ	イモ
シートベルト	シートベルト
ダメダメ	ダメダメ
ちぎる	チギル
ネス	ネス
マント	マント
接す	セッス
石油	セキユ
見殺し	ミゴロシ
インターネット	インターネット
ホルモン	ホルモン
まかせる	マカセル
各国	カッコク
感触	カンショク
病室	ビョウシツ
精一杯	セイイッパイ
補佐	ホサ
見せかける	ミセカケル
負	フ
足止め	アシドメ
遺書	イショ
いい天気	イイテンキ
かじ	カジ
ケリ	ケリ
ワゴン	ワゴン
協定	キョウテイ
子供達	コドモタチ
黄泉	ヨミ
けんか	ケンカ
ターン	ターン
ミュージカル	ミュージカル
ロウソク	ロウソク
伸明	ノブアキ
卒業式	ソツギョウシキ
茶色	チャイロ
ホーク	ホーク
内巻	ナイカン
呉	クレ
木暮	キクレ
申し出	モウシデ
足首	アシクビ
飼い主	カイヌシ
サバ	サバ
すき	スキ
ファー	ファー
乗馬	ジョウバ
宇佐美	ウサミ
放射線	ホウシャセン
蘇生	ソセイ
路上	ロジョウ
近道	チカミチ
カボチャ	カボチャ
デスク	デスク
パキスタン	パキスタン
ぶち込む	ブチコム
ホットドッグ	ホットドッグ
地球上	チキュウジョウ
沖縄	オキナワ
潜水艦	センスイカン
総督	ソウトク
キクチ	キクチ
グレイス	グレイス
荒巻	アラマキ
観	カン
か所	カトコロ
サブ	サブ
ステーション	ステーション
やや	ヤヤ
司令	シレイ
存じる	ゾンジル
アルバ	アルバ
ゴールデン	ゴールデン
コブラ	コブラ
ほんの少し	ホンノスコシ
実際に	ジッサイニ
尿	ニョウ
東部	トウブ
楚	ソ
見くびる	ミクビル
あさって	アサッテ
インチキ	インチキ
まゆみ	マユミ
協力者	キョウリョクシャ
大山	オオヤマ
平気で	ヘイキデ
新世界	シンセカイ
由来	ユライ
苹果	苹カ
選抜	センバツ
ウル	ウル
何らかの	ナンラカノ
元どおり	モトドオリ
和子	カズコ
形跡	ケイセキ
思うに	オモウニ
暴力的	ボウリョクテキ
証拠品	ショウコヒン
違和感	イワカン
離陸	リリク
ちょい	チョイ
はやる	ハヤル
メタ	メタ
レイン	レイン
ロロ	ロロ
好きなように	スキナヨウニ
法師	ホウシ
難い	ガタイ
イド	イド
ずーっと	ズーット
パール	パール
ユダヤ	ユダヤ
体温	タイオン
夏海	ナツウミ
後任	コウニン
王さま	オウサマ
生徒会長	セイトカイチョウ
遅れ	オクレ
クレイグ	クレイグ
ひも	ヒモ
ホログラム	ホログラム
中華	チュウカ
大違い	オオチガイ
奇襲	キシュウ
張り切る	ハリキル
特権	トッケン
仮装	カソウ
投獄	トウゴク
毛皮	ケガワ
遺跡	イセキ
ワッフル	ワッフル
全世界	ゼンセカイ
写真家	シャシンカ
履歴	リレキ
形成	ケイセイ
潔白	ケッパク
ガラクタ	ガラクタ
クライ	クライ
レジ	レジ
中途半端	チュウトハンパ
退避	タイヒ
高尾	タカオ
どちら様	ドチラサマ
回路	カイロ
戦艦	センカン
放り出す	ホウリダス
浴室	ヨクシツ
生き抜く	イキヌク
たべる	タベル
モール	モール
レックス	レックス
取り入れる	トリイレル
召す	メス
太鼓	タイコ
謙虚	ケンキョ
進	ススム
陵南	リョウミナミ
非常	ヒジョウ
うぬぼれる	ウヌボレル
ヒール	ヒール
むちゃ	ムチャ
不吉	フキツ
好都合	コウツゴウ
宇宙飛行士	ウチュウヒコウシ
正宗	マサムネ
あやめ	アヤメ
オースティン	オースティン
そりゃあ	ソリャア
ポー	ポー
切り替える	キリカエル
利口	リコウ
叔母さん	オバサン
台北	タイホク
律	リツ
損失	ソンシツ
称号	ショウゴウ
米国人	ベイコクジン
結晶	ケッショウ
預言者	ヨゲンモノ
カリー	カリー
しんぱい	シンパイ
右側	ミギガワ
叶える	カナエル
怠る	オコタル
星人	セイジン
気遣う	キヅカウ
田代	タシロ
経緯	ケイイ
クリーン	クリーン
シャーリー	シャーリー
パット	パット
ハラ	ハラ
ハンス	ハンス
ルピー	ルピー
依存	イゾン
前後	ゼンゴ
弾ける	ヒケル
真っすぐ	マコトッスグ
騙す	ダマス
アブノーマル	アブノーマル
コル	コル
ソニー	ソニー
分解	ブンカイ
収集	シュウシュウ
受け取れる	ウケトレル
甘やかす	アマヤカス
適応	テキオウ
お疲れ様	オツカレサマ
クッソ	クッソ
レア	レア
技師	ギシ
民族	ミンゾク
涼	リョウ
由佳	ユカ
西部	セイブ
イタリア人	イタリアニン
おとぎ話	オトギハナシ
かのように	カノヨウニ
初心者	ショシンシャ
加えて	クワエテ
搭載	トウサイ
獣医	ジュウイ
真白	マッシロ
継続	ケイゾク
締める	シメル
身分証	ミブンショウ
ばちゃん	バチャン
取り乱す	トリミダス
散らす	チラス
気味	キミ
用心棒	ヨウジンボウ
眼	メ
研	ケン
自爆	ジバク
藤宮	フジミヤ
見かけ	ミカケ
サンダー	サンダー
なぞ	ナゾ
まゆ	マユ
出馬	シュツバ
切り裂く	キリサク
大根	ダイコン
小声	コゴエ
建築家	ケンチクカ
抜かす	ヌカス
数日後	スウジツゴ
月琴	ガツコン
深める	フカメル
秘訣	ヒケツ
竜巻	タツマキ
義兄	ギアニ
道のり	ミチノリ
コケ	コケ
ドミニク	ドミニク
亀裂	キレツ
勇利	イサミリ
引き	ヒキ
装着	ソウチャク
踏み込む	フミコム
高校時代	コウコウジダイ
アタック	アタック
かぁ	カァ
キット	キット
キャベツ	キャベツ
ちょうらく	チョウラク
テレビ局	テレビキョク
マグロ	マグロ
レイラ	レイラ
悪い知らせ	ワルイシラセ
番地	バンチ
ガイ	ガイ
カンナ	カンナ
ユニコーン	ユニコーン
ローレル	ローレル
不可欠	フカケツ
別々	ベツベツ
小池	コイケ
物騒	ブッソウ
理科	リカ
盃	ハイ
設計図	セッケイズ
お出かけ	オデカケ
何日も	ナンニチモ
収監	シュウカン
長楽	チョウラク
ミロ	ミロ
中西	ナカニシ
堅次	ケンツギ
急げる	イソゲル
敗れる	ヤブレル
朝倉	アサクラ
野崎	ノザキ
たて	タテ
ペイント	ペイント
ぽん	ポン
ユニット	ユニット
情報源	ジョウホウゲン
拙者	セッシャ
